,states,states_code,states_total_hh,states_hh_receiving_snap,states_hh_below_poverty_level,states_hh_below_poverty_snap_receivers,states_snap_receivers_hh_median_income,percent_total_hh_receiving_snap,percent_total_hh_below_poverty_level,percent_total_hh_below_poverty_level_receiving_snap,snap_enrollment_gap_below_poverty
1,Wyoming,WY,230653,11897,25307,6294,20925,5.157964561,10.97189284,24.87058917,75.12941083
2,Utah,UT,1033651,61243,91960,25204,31641,5.9249205,8.896619846,27.40756851,72.59243149
3,North_Dakota,ND,316542,20390,35650,10263,20765,6.441483279,11.26232854,28.78821879,71.21178121
4,California,CA,13217586,1259489,1561911,475428,35230,9.528888255,11.81691574,30.43886624,69.56113376
5,Colorado,CO,2227932,164109,212899,65280,28685,7.365978854,9.555902065,30.66242678,69.33757322
6,Kansas,KS,1139738,80910,131406,41400,21737,7.098999946,11.52949187,31.50541071,68.49458929
7,Idaho,ID,657101,57134,73065,24214,28521,8.694858172,11.11929521,33.14035448,66.85964552
8,Montana,MT,436481,39319,53623,18148,22600,9.008181341,12.28529993,33.84368648,66.15631352
9,Arizona,AZ,2683557,274294,331816,114722,30937,10.22128466,12.36478301,34.57398076,65.42601924
10,New_Hampshire,NH,540498,33190,42173,14688,23588,6.140633268,7.802619066,34.8279705,65.1720295
11,Nebraska,NE,766887,61513,81968,28776,24872,8.02112958,10.68840651,35.10638298,64.89361702
12,Virginia,VA,3248528,260305,321641,116411,26170,8.013013894,9.901130604,36.19283611,63.80716389
13,Nevada,NV,1141952,134616,142647,51679,30977,11.78823628,12.49150577,36.22859226,63.77140774
14,New_Jersey,NJ,3397156,283817,335537,123492,25603,8.354547157,9.876997112,36.80428686,63.19571314
15, Minnesota,MN,2229100,167348,206178,76620,23837,7.507424521,9.249383159,37.16206385,62.83793615
16,Delaware,DE,381097,39952,41321,15460,30686,10.48342023,10.84264636,37.41438978,62.58561022
17,Indiana,IN,2622601,236989,322051,121516,22017,9.0364108,12.27983212,37.73191203,62.26808797
18,South_Carolina,SC,1976447,211210,284008,107417,22025,10.68634777,14.36962388,37.82182192,62.17817808
19,Hawaii,HI,478413,51080,46313,17741,41990,10.67696739,9.680547978,38.30673893,61.69326107
20,Texas,TX,10239341,1178059,1365108,524106,28140,11.50522285,13.3319908,38.39300627,61.60699373
21,Florida,FL,8157420,1079253,1042235,401699,30517,13.23032282,12.77652738,38.54207544,61.45792456
22,South_Dakota,SD,345779,29089,37222,14376,21948,8.412598799,10.76467917,38.62232013,61.37767987
23,Arkansas,AR,1158460,131179,184659,71801,20185,11.32356749,15.94004109,38.88302222,61.11697778
24,Iowa,IA,1275893,122182,140621,54805,24760,9.576194869,11.02137875,38.97355303,61.02644697
25,Georgia,GA,3885371,463135,519640,211109,25204,11.91996852,13.37426979,40.62601031,59.37398969
26,Missouri,MO,2433819,246960,309471,126102,21608,10.14701586,12.71544844,40.74759832,59.25240168
27,Alaska,AK,260561,27017,25091,10233,31126,10.36878121,9.629606887,40.78354789,59.21645211
28,Vermont,VT,262514,27047,27813,11412,21114,10.30306955,10.59486351,41.03117247,58.96882753
29,Maryland,MD,2294270,238288,209776,86383,32967,10.38622307,9.143474831,41.17868584,58.82131416
30,Wisconsin,WI,2401818,245721,251251,104506,24395,10.2306253,10.46086756,41.59426231,58.40573769
31,North_Carolina,NC,4034684,486376,535711,222987,23751,12.0548722,13.27764454,41.6244953,58.3755047
32,Mississippi,MS,1108670,155434,211794,89612,18695,14.01986164,19.10343024,42.31092477,57.68907523
33,Oklahoma,OK,1503868,189183,218941,95031,23127,12.57976099,14.55852508,43.40484423,56.59515577
34,Washington,WA,2931841,328707,281695,123306,32004,11.21162437,9.608126771,43.77287492,56.22712508
35,Tennessee,TN,2664791,323488,375841,165877,21788,12.13933851,14.10395787,44.13488683,55.86511317
36,Alabama,AL,1902983,252371,300548,133633,19783,13.26186309,15.79351996,44.46311405,55.53688595
37,Kentucky,KY,1748475,222089,283279,126659,18609,12.70186877,16.20148987,44.71175061,55.28824939
38,Louisiana,LA,1748688,274650,322771,146095,20568,15.70606077,18.45789529,45.26274046,54.73725954
39,Illinois,IL,4930255,620895,590075,269484,25550,12.59356768,11.96844788,45.6694488,54.3305512
40,Michigan,MI,3976729,499148,512290,235438,23085,12.55172279,12.88219539,45.9579535,54.0420465
41,Oregon,OR,1658091,244344,196470,91327,30254,14.73646501,11.84916871,46.48394157,53.51605843
42,District of Columbia,DC,310104,38881,43180,20098,17615,12.53805175,13.92436086,46.54469662,53.45530338
43,Massachusetts,MA,2714448,331259,290376,137013,23850,12.2035493,10.69742356,47.18468468,52.81531532
44,Ohio,OH,4754161,587542,625886,302282,20362,12.35847924,13.16501482,48.29665466,51.70334534
45,New_Mexico,NM,797596,139875,140987,68290,23644,17.53707391,17.67649286,48.43708994,51.56291006
46,Connecticut,CT,1397324,160416,142916,69291,23057,11.48022935,10.22783549,48.48372471,51.51627529
47,Maine,ME,571064,69349,66590,32388,20646,12.14382276,11.66068952,48.63793362,51.36206638
48,New_York,NY,7530150,1075247,1011603,506919,21417,14.27922419,13.43403518,50.11046824,49.88953176
49,Pennsylvania,PA,5147783,689731,603712,303154,23103,13.39860285,11.72761167,50.21500318,49.78499682
50,West_Virginia,WV,711352,116700,121119,62743,18742,16.40538018,17.02659162,51.80277248,48.19722752
51,Rhode_Island,RI,426769,62811,51623,27709,22128,14.71779815,12.09623942,53.67568719,46.32431281
52,Puerto_Rico,PR,1196790,524043,527424,381040,11459,43.78738124,44.06988695,72.24547992,27.75452008