state,geo,snap_engagement,unemployment_rate,state_snap_engagement,state_unemployment
Colorado,08037000703,0.64,16.6,7.43,4.7
Colorado,08001008554,3.28,16.5,7.43,4.7
Colorado,08041004507,5.31,18.4,7.43,4.7
Colorado,08005083900,1.06,13.8,7.43,4.7
Colorado,08013012300,1.48,13.4,7.43,4.7
Colorado,08041004008,3.19,14.9,7.43,4.7
Colorado,08123001914,0.92,11.9,7.43,4.7
Colorado,08041003801,0.66,11.3,7.43,4.7
Colorado,08075965900,3.61,13.5,7.43,4.7
Colorado,08093000500,2.16,11.9,7.43,4.7
Maryland,24003730513,4.25,14.8,10.83,5.43
Maryland,24033803513,4.34,14.8,10.83,5.43
Maryland,24003740603,1.34,11.3,10.83,5.43
Maryland,24031700837,3.64,13.1,10.83,5.43
Maryland,24043011600,3.73,12.3,10.83,5.43
Maryland,24003706303,5.71,14.2,10.83,5.43
Maryland,24003701103,4.51,12,10.83,5.43
Maryland,24027603003,0.43,7.8,10.83,5.43
Maryland,24031705702,0.69,7.9,10.83,5.43
Maryland,24033801312,2.64,9.7,10.83,5.43
Michigan,26163985100,3.23,22.5,14.08,6.88
Michigan,26023951301,3.23,21.8,14.08,6.88
Michigan,26087334500,4.61,20.1,14.08,6.88
Michigan,26161414500,2.05,16.6,14.08,6.88
Michigan,26125194500,4.75,19.2,14.08,6.88
Michigan,26119910500,6.45,17.9,14.08,6.88
Michigan,26021011301,5.51,16.7,14.08,6.88
Michigan,26147650200,2.19,13.1,14.08,6.88
Michigan,26075006202,1.86,12.5,14.08,6.88
Michigan,26115830500,10.4,20.9,14.08,6.88
New York,36119981000,1.51,26.1,14.63,5.97
New York,36033940000,4.65,27,14.63,5.97
New York,36081019901,4.08,21.1,14.63,5.97
New York,36059521400,2.38,19.3,14.63,5.97
New York,36045060806,4.99,20.7,14.63,5.97
New York,36069050206,5.68,19.1,14.63,5.97
New York,36027160004,4.4,17.8,14.63,5.97
New York,36061011300,12,25.4,14.63,5.97
New York,36029009106,0.83,13.6,14.63,5.97
New York,36007012501,5.09,17.8,14.63,5.97
North Carolina,37133000901,5.25,33.3,12.58,5.66
North Carolina,37051003403,1.77,25.7,12.58,5.66
North Carolina,37023020203,3.43,24.8,12.58,5.66
North Carolina,37101041113,3.89,24,12.58,5.66
North Carolina,37019020508,1.97,20.2,12.58,5.66
North Carolina,37189920500,9.72,26,12.58,5.66
North Carolina,37133000404,10.57,26.4,12.58,5.66
North Carolina,37133000800,1.99,17.3,12.58,5.66
North Carolina,37051003401,1.49,15.8,12.58,5.66
North Carolina,37019020304,2.91,16,12.58,5.66
Pennsylvania,42091205810,0.5,18.6,14.08,5.69
Pennsylvania,42091200310,1.11,13.4,14.08,5.69
Pennsylvania,42089301206,5.88,16.9,14.08,5.69
Pennsylvania,42017101404,2.28,13,14.08,5.69
Pennsylvania,42103950204,1.21,11.6,14.08,5.69
Pennsylvania,42101020800,2.1,12.4,14.08,5.69
Pennsylvania,42091201501,2.59,12.6,14.08,5.69
Pennsylvania,42091206108,1.16,11.1,14.08,5.69
Pennsylvania,42045409100,1.36,10.8,14.08,5.69
Pennsylvania,42027012600,2.74,12.1,14.08,5.69
South Carolina,45013002109,1.01,39.8,12.48,5.96
South Carolina,45075011801,9.81,32.3,12.48,5.96
South Carolina,45057011209,1.4,21.3,12.48,5.96
South Carolina,45051040300,0.32,15.7,12.48,5.96
South Carolina,45035010506,4.89,18.1,12.48,5.96
South Carolina,45063020508,0.51,13.2,12.48,5.96
South Carolina,45003020903,8.09,20.3,12.48,5.96
South Carolina,45037970203,6.15,15.3,12.48,5.96
South Carolina,45045003005,5.26,14.3,12.48,5.96
South Carolina,45021970203,5.18,13.9,12.48,5.96